254000,LA TUILISSE,04180,Villeneuve,,5.876494,43.89596
10000,SAINT PIERRE,04190,Les Mées,,5.957092,44.013406
700000,COUGOURDANE,04200,Sigoyer,,5.958553,44.330969
256000,LES COUSTOULLIES,04150,Banon,115,5.640588,44.044515
245000,RUE DOCTEUR ANDRE DAUMAS,04000,Digne-les-Bains,155,6.219049,44.089409
2810,DEFENDS ET CHAMP BOUNARD,04250,Bayons,,6.109541,44.311107
823980,LES GRANDES BLACHES,04200,Mison,,5.902935,44.251891
240000,LA BASTIDE BLANCHE,04190,Les Mées,220,5.923215,43.971614
44000,RES CHARLES LATIL,04100,Manosque,53,5.789424,43.826006
53000,COTEAU DE FABRE,04120,Castellane,,6.561691,43.807296
150000,PL DES HEROS DE LA RESISTANCE,04210,Valensole,55,5.985603,43.837256
228069,AGNERQ,04320,Castellet-lès-Sausses,,6.775947,43.971347
70020,LES HAUTES PLAINES,04800,Gréoux-les-Bains,,5.895431,43.761334
83000,RTE DU LAC,04160,L'Escale,61,6.023077,44.085823
105000,RTE DE LA BASTIDE RD 6,04860,Pierrevert,,5.732622,43.807363
195000,ALL DES MARRONNIERS,04350,Malijai,65,6.02919,44.045401
545000,LES COUSTONS,04150,Redortiers,,5.625696,44.100421
17000,LES ROUINES,04200,Bevons,,5.854746,44.16682
19000,PRE D AMIEN,04230,Montlaux,,5.86943,44.064786
66500,LES CLOTS,04850,Jausiers,,6.737482,44.417499
205600,LES BEAUMES,04220,Corbières-en-Provence,,5.748586,43.761107
140000,LE VILLAGE,04420,Prads-Haute-Bléone,,6.441697,44.219699
823700,LARA,04400,Saint-Pons,30,6.619011,44.391335
22500,,,Manosque,,5.803081,43.831541
50650,LES CHALPS,05600,Risoul,19,6.635178,44.623428
47500,PRE LONGIS,05200,Les Orres,18,6.557406,44.49367
125000,RUE PASTEUR,05100,Briançon,66,6.636364,44.894731
120000,PRA PREMIER,05100,Val-des-Prés,,6.675484,44.951511
480,LES HERMES,05310,La Roche-de-Rame,,6.586104,44.72617
19000,RUE DU 4EME RTM,05100,Briançon,,6.634722,44.894322
160000,RUE EMMANUEL PHILIBERT,06300,Nice,34,7.283428,43.701032
1690000,CHE DES OLIVIERS,06950,Falicon,191,7.265643,43.761979
305000,AV SAINT SYLVESTRE,06100,Nice,,7.251833,43.725032
312000,RUE DE LA LIBERTE,06000,Nice,56,7.266151,43.698037
133610,RUE ARMEE D ORIENT,06300,Nice,,7.291721,43.70908
1350000,RUE PAULINE,06000,Nice,13,7.25855,43.707161
210000,AV DES ARENES DE CIMIEZ,06000,Nice,70,7.277636,43.706729
225000,RUE ANTOINE SCOFFIER,06340,La Trinité,67,7.315544,43.743151
135000,AV GEORGE  5,06000,Nice,32,7.267196,43.710731
465000,BD FRANCK PILATTE,06300,Nice,,7.288086,43.694638
36000,AV PAULIANI,06000,Nice,,7.279237,43.705109
315000,AV DES ARENES DE CIMIEZ,06000,Nice,,7.274683,43.711617
1300000,PL CHARLES FELIX,06300,Nice,40,7.276615,43.695296
430000,AV CHATEAUBRIAND,06100,Nice,53,7.262635,43.722228
145000,AV DENIS SEMERIA,06300,Nice,,7.286189,43.714626
270000,BD VICTOR HUGO,06000,Nice,55,7.266236,43.700358
1000,RTE DE L ABADIE,06730,Saint-André-de-la-Roche,,,
475000,ALL CHARLES PASQUA,06000,Nice,,7.26077,43.709592
161000,AV DENIS SEMERIA,06300,Nice,,7.286189,43.714626
80000,RUE GENERAL SARAMITO,06300,Nice,63,7.30712,43.740335
460000,CHE DES ARNAUD,06730,Saint-André-de-la-Roche,,7.291664,43.749556
11454340,RUE DE FRANCE,06000,Nice,15,7.262374,43.695948
38000,RUE CHARLES PEGUY,06100,Nice,,7.262253,43.713352
295000,BD AUGUSTE RAYNAUD,06100,Nice,73,7.258932,43.713335
575000,BD FRANCK PILATTE,06300,Nice,71,7.291004,43.693821
87000,IMP ISABELLE,06000,Nice,17,7.279227,43.722643
362000,RUE PAGANINI,06000,Nice,52,7.263634,43.704038
215000,RUE BLASCO IBANEZ,06100,Nice,46,7.274236,43.725888
1150000,BD DU MONT BORON,06300,Nice,33,7.295447,43.696531
30000,BD GORBELLA,06100,Nice,,7.257307,43.722998
165500,BD JEAN DOMINIQUE BLANQUI,06340,La Trinité,,7.312267,43.735324
125000,RUE PAPON,06300,Nice,30,7.282342,43.70121
165000,RUE BONAPARTE,06300,Nice,38,7.285267,43.700406
182000,AV JEAN DE LA FONTAINE,06100,Nice,,7.267818,43.729003
15000,AV DENIS SEMERIA,06300,Nice,,7.290683,43.715753
35000,BD GAMBETTA,06000,Nice,,7.256509,43.697079
102700,AV MARECHAL FOCH,06000,Nice,26,7.271696,43.704165
225000,BD JOSEPH GARNIER,06000,Nice,77,7.260471,43.710279
214000,RUE BERLIOZ,06000,Nice,42,7.258967,43.699296
1250000,RUE LAFAYETTE,06000,Nice,46,7.265517,43.707009
187000,BD RAIMBALDI,06000,Nice,71,7.268371,43.707225
475000,AV CAP DE CROIX,06100,Nice,,7.275371,43.732631
2346000,,,Nice,,7.291721,43.70908
139000,,,Nice,,7.242473,43.692823
134000,BD NAPOLEON III,06200,Nice,27,7.228383,43.691246
700500,CHEM DE LA BERGIADE,06100,Nice,,7.229722,43.744748
313250,AV RAOUL DUFY,06200,Nice,,7.214562,43.682032
106000,AV DE LA BORNALA,06200,Nice,,7.236049,43.695537
300000,BD HENRI SAPPIA,06100,Nice,,7.250794,43.731697
350000,AV GAY,06000,Nice,,7.255066,43.704577
150000,AV SAINT AUGUSTIN,06200,Nice,72,7.228085,43.678472
200000,BD DE LA MADELEINE,06000,Nice,100,7.233891,43.705255
177000,RUE DE FRANCE,06000,Nice,37,7.25562,43.695298
163000,CHE DU RESERV DE LA PASTORELL,06200,Nice,36,7.219937,43.688429
574000,AV DE LA LANTERNE,06200,Nice,102,7.217648,43.683312
175000,AV EDEN PARK,06000,Nice,42,7.253686,43.709101
113000,RUE DE L ORME,06100,Nice,36,7.251026,43.720949
